"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","N_flowers","D1","D2","D3","D4","D5","Obs_field"
"Rumex acetosella",2021-06-09,"KMW","F1",2,3,2,"Claire","",13.2,750,28,42,46,63,36,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F2",1,1,0,"Claire","",23.5,350,27,21,26,34,38,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F2",1,2,0,"Claire","",23.5,350,27,21,26,34,38,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F2",1,3,1,"Claire","",23.5,350,27,21,26,34,38,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F2",2,1,6,"Claire","",23.5,350,27,21,26,34,38,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F2",2,2,1,"Claire","",23.5,350,27,21,26,34,38,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F2",2,3,2,"Claire","",23.5,350,27,21,26,34,38,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F3",1,1,0,"Claire","",25,110,28,51,28,27,37,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F3",1,2,0,"Claire","",25,110,28,51,28,27,37,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F3",1,3,0,"Claire","",25,110,28,51,28,27,37,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F3",2,1,0,"Claire","",25,110,28,51,28,27,37,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F3",2,2,0,"Claire","",25,110,28,51,28,27,37,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F3",2,3,0,"Claire","",25,110,28,51,28,27,37,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F4",1,1,0,"Claire","",24.7,750,53,62,64,87,86,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F4",1,2,0,"Claire","",24.7,750,53,62,64,87,86,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F4",1,3,2,"Claire","",24.7,750,53,62,64,87,86,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F4",2,1,0,"Claire","",24.7,750,53,62,64,87,86,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F4",2,2,0,"Claire","",24.7,750,53,62,64,87,86,"Claire"
